Time,EC,Temperature,LoadCell0,LoadCell1
2026-07-16 14:12:10.636,306.8914222694549,23.370559034497358,27.46,41.51
2026-07-16 14:12:10.736,307.1806079931882,23.370681340344362,27.460000000000004,41.51
2026-07-16 14:12:10.836,307.5286099388327,23.37090183172706,27.46,41.51
2026-07-16 14:12:10.936,307.3031379151908,23.371116845000625,27.46,41.51
2026-07-16 14:12:11.036,305.8693359265548,23.371276701370647,27.460000000000004,41.51
2026-07-16 14:12:11.136,304.75026778270416,23.370888157444057,27.46,41.50999999999999
2026-07-16 14:12:11.236,305.41155521545124,23.37104749860663,27.459999999999997,41.50999999999999
2026-07-16 14:12:11.336,305.9777645559614,23.371482839591174,27.460000000000004,41.510000000000005
2026-07-16 14:12:11.436,305.7448247509966,23.371680209946263,27.46,41.51
2026-07-16 14:12:11.536,305.13387572081507,23.371667399865995,27.46,41.50225490196078
2026-07-16 14:12:11.636,305.168050425919,23.371955380394326,27.45237623762376,41.5
2026-07-16 14:12:11.736,305.785182464914,23.37278333867918,27.449999999999996,41.5
2026-07-16 14:12:11.836,304.1069872268238,23.37300783904466,27.450000000000003,41.5
2026-07-16 14:12:11.936,303.64137015742017,23.373183942591837,27.449999999999996,41.5
2026-07-16 14:12:12.036,303.37104174377197,23.373351871662045,27.450000000000003,41.5
2026-07-16 14:12:12.136,303.3426681604995,23.373389983522756,27.45,41.5
2026-07-16 14:12:12.236,303.65833934405936,23.37315307181768,27.44316831683168,41.49316831683168
2026-07-16 14:12:12.336,301.7729853469651,23.37264953882781,27.44,41.49
2026-07-16 14:12:12.436,302.1161660575609,23.372825396758746,27.439999999999998,41.49
2026-07-16 14:12:12.536,302.765411424255,23.37300591711564,27.440000000000005,41.49000000000001
2026-07-16 14:12:12.636,302.47346879958855,23.37317835878907,27.440000000000005,41.49
2026-07-16 14:12:12.736,301.6888441722622,23.373478861726948,27.439999999999998,41.49
2026-07-16 14:12:12.836,303.9403308028871,23.373820324453035,27.440000000000005,41.49000000000001
2026-07-16 14:12:12.936,316.58947100245047,23.373618603105392,27.440000000000005,41.49
2026-07-16 14:12:13.036,344.343696373593,23.37342733241714,27.439999999999998,41.489999999999995
2026-07-16 14:12:13.136,383.5929968152575,23.373527510771225,27.44,41.49
2026-07-16 14:12:13.236,407.24741257466906,23.373464842725603,27.44,41.494851485148516
2026-07-16 14:12:13.336,421.0114936463114,23.373433761361824,27.440000000000005,41.5
2026-07-16 14:12:13.436,430.76254413175843,23.373416373225105,27.444554455445545,41.5
2026-07-16 14:12:13.536,429.2297604532242,23.372935457075336,27.449999999999996,41.5
2026-07-16 14:12:13.636,428.86959718124405,23.372769836787803,27.45,41.5
2026-07-16 14:12:13.736,427.10249656342353,23.37202289982134,27.449999999999996,41.5
2026-07-16 14:12:13.836,426.7844337478547,23.371925752219344,27.45,41.5
2026-07-16 14:12:13.936,429.6239599849506,23.37215321410946,27.450000000000003,41.5
2026-07-16 14:12:14.036,471.4467191008903,23.372370399961596,27.449999999999996,41.5
2026-07-16 14:12:14.136,946.5841073618769,23.372577662478207,27.449999999999996,41.5
