Time,EC,Temperature,Real,Imaginary
2026-07-16 14:34:14.000000000,13933.621758121231,23.78083005206317,32155.0,-11082.0
2026-07-16 14:34:14.121065378,13911.079650688893,23.77842301606305,32155.0,-11082.0
2026-07-16 14:34:14.242130756,14031.945089649103,23.77891163136731,32153.0,-11082.0
2026-07-16 14:34:14.363196135,14007.889360660603,23.77847169161207,32152.0,-11081.0
2026-07-16 14:34:14.484261513,14004.775170923438,23.77889790967645,32152.0,-11081.0
2026-07-16 14:34:14.605326891,13982.656473738964,23.777731804258558,32150.0,-11081.0
2026-07-16 14:34:14.726392269,13930.90748924803,23.77666126046096,32150.0,-11081.0
2026-07-16 14:34:14.847457647,13955.48294383521,23.77568447254927,32148.0,-11080.0
2026-07-16 14:34:14.968523026,13952.748053045452,23.775559157761126,32148.0,-11080.0
2026-07-16 14:34:15.089588404,14049.450574633813,23.77687459024572,32145.0,-11079.0
2026-07-16 14:34:15.210653782,14075.92577036137,23.778120615841367,32145.0,-11078.0
2026-07-16 14:34:15.331719160,13972.041775339085,23.77853282171354,32145.0,-11076.0
2026-07-16 14:34:15.452784538,13997.955802405007,23.778896078242877,32144.0,-11077.0
2026-07-16 14:34:15.573849916,13949.350405962698,23.77855541316726,32144.0,-11077.0
2026-07-16 14:34:15.694915295,14048.766296118489,23.77955016586729,32144.0,-11076.0
2026-07-16 14:34:15.815980673,14048.08204078196,23.78049058624374,32143.0,-11076.0
2026-07-16 14:34:15.937046051,14046.713599649953,23.78137304492282,32142.0,-11075.0
2026-07-16 14:34:16.058111429,14018.883119290367,23.78219593002493,32141.0,-11075.0
2026-07-16 14:34:16.179176807,13920.949256587815,23.78162970470313,32141.0,-11076.0
2026-07-16 14:34:16.300242186,13939.569936780168,23.78175119756021,32139.0,-11075.0
2026-07-16 14:34:16.421307564,13965.917677258883,23.781858177391776,32137.0,-11073.0
2026-07-16 14:34:16.542372942,13967.95883575166,23.78195302581025,32137.0,-11074.0
2026-07-16 14:34:16.663438320,13950.725339626097,23.780941058251067,32139.0,-11076.0
2026-07-16 14:34:16.784503698,13893.691524599708,23.7799495283363,32137.0,-11075.0
2026-07-16 14:34:16.905569077,13867.108212064824,23.77839246178081,32133.0,-11073.0
2026-07-16 14:34:17.026634455,13819.830916259638,23.775552681885674,32132.0,-11071.0
2026-07-16 14:34:17.147699833,13839.181807067462,23.7732035201787,32127.0,-11069.0
2026-07-16 14:34:17.268765211,13820.9835243602,23.768444535809767,32125.0,-11068.0
2026-07-16 14:34:17.389830589,13816.433479439049,23.76413951876857,32123.0,-11066.0
2026-07-16 14:34:17.510895966,13823.841536871802,23.759833590574672,32129.0,-11062.0
2026-07-16 14:34:17.631961346,13798.417664122471,23.7545646132027,32131.0,-11058.0
2026-07-16 14:34:17.753026724,13822.227316103086,23.748234959691736,32124.0,-11059.0
2026-07-16 14:34:17.874092102,13824.92213644842,23.742228536340114,32125.0,-11059.0
2026-07-16 14:34:17.995157480,13894.93509267879,23.738332615194004,31837.0,-10937.0
2026-07-16 14:34:18.116222858,13957.231883833289,23.736551488345903,31987.0,-10999.0
2026-07-16 14:34:18.237288237,13927.22279958787,23.735164107483705,32093.0,-11049.0
2026-07-16 14:34:18.358353615,13981.39797502758,23.73285414157895,32110.0,-11056.0
2026-07-16 14:34:18.479418993,14001.150095629704,23.733307079221596,32122.0,-11061.0
2026-07-16 14:34:18.600484371,13976.800523062098,23.732555540663444,32123.0,-11063.0
2026-07-16 14:34:18.721549749,14002.03567383579,23.73193678762324,32124.0,-11063.0
2026-07-16 14:34:18.842615128,14052.860715877918,23.73238382854068,32125.0,-11063.0
2026-07-16 14:34:18.963680506,14052.860715877918,23.732759277412104,32124.0,-11063.0
2026-07-16 14:34:19.084745646,14046.307335711788,23.73388390723747,32122.0,-11063.0
2026-07-16 14:34:19.205811024,13999.785585677068,23.7341024312224,32123.0,-11063.0
2026-07-16 14:34:19.326876402,13975.438330883277,23.73351286039074,32122.0,-11062.0
2026-07-16 14:34:19.447941780,14022.961795666935,23.733738620857583,32121.0,-11062.0
2026-07-16 14:34:19.569007158,13969.341303655025,23.73393520582201,32120.0,-11062.0
2026-07-16 14:34:19.690072536,13974.07623118077,23.7334385382853,32120.0,-11062.0
2026-07-16 14:34:19.811137915,13973.395216008594,23.732988019364363,32120.0,-11063.0
2026-07-16 14:34:19.932203293,13970.022113782812,23.73321376090401,32120.0,-11062.0
2026-07-16 14:34:20.053268671,14015.847777134662,23.7345930724136,32119.0,-11063.0
2026-07-16 14:34:20.174334049,13964.068704682686,23.73533366241481,32118.0,-11062.0
2026-07-16 14:34:20.295399427,13990.649772635195,23.73602368652139,32117.0,-11061.0
2026-07-16 14:34:20.416464806,14017.674298488117,23.73666415175792,32117.0,-11061.0
2026-07-16 14:34:20.537530184,14012.43296592831,23.73787804161832,32116.0,-11060.0
2026-07-16 14:34:20.658595562,14013.115881814483,23.739057302090725,32116.0,-11060.0
2026-07-16 14:34:20.779660940,14062.582916397096,23.7408549862068,32115.0,-11061.0
2026-07-16 14:34:20.900726318,14061.897597624871,23.742647726112875,32115.0,-11060.0
2026-07-16 14:34:21.021791697,14012.43296592831,23.743645596822606,32115.0,-11060.0
2026-07-16 14:34:21.142857075,13959.409741817304,23.74455758225352,32115.0,-11060.0
2026-07-16 14:34:21.263922453,13985.859474860064,23.74538758923304,32115.0,-11059.0
2026-07-16 14:34:21.384987831,14009.005300759907,23.74686976433609,32114.0,-11059.0
2026-07-16 14:34:21.506053208,14007.639888225973,23.7482809855219,32113.0,-11060.0
2026-07-16 14:34:21.627118587,13958.049127511382,23.748839764633164,32113.0,-11059.0
2026-07-16 14:34:21.748183966,13981.880385095716,23.75007217495378,32113.0,-11058.0
2026-07-16 14:34:21.869249344,13931.596647933182,23.750474836785163,32112.0,-11059.0
2026-07-16 14:34:21.990314722,13953.392581637432,23.75154203900452,32111.0,-11058.0
2026-07-16 14:34:22.111380100,13955.328175998708,23.751817310786468,32110.0,-11058.0
2026-07-16 14:34:22.232445478,13956.688605571588,23.75205880724981,32110.0,-11059.0
2026-07-16 14:34:22.353510857,13979.154899755673,23.75291995441526,32110.0,-11058.0
2026-07-16 14:34:22.474576235,13953.392581637432,23.753725911437822,32110.0,-11058.0
